,date,parliament.no,session.no,period.no,chamber,page.no,proof,day.start,name,name.id,title,type,electorate,party,role,in.gov,first.speech,para
10,17/10/72,27,2,6,SENATE,1587,0,17/10/72,Senator GREENWOOD,KMX,COMMONWEALTH LITERARY FUND,ANSWERS TO QUESTIONS UPON NOTICE,,LP,,1,0,"
 

               Mr G. Dutton, poet, biographer and critic, Adelaide. "
11,17/10/72,27,2,6,SENATE,1587,0,17/10/72,Senator GREENWOOD,KMX,COMMONWEALTH LITERARY FUND,ANSWERS TO QUESTIONS UPON NOTICE,,LP,,1,0,"
 
Professor A. D. Hope, O.B.E., poet and critic, Canberra. "
12,17/10/72,27,2,6,SENATE,1587,0,17/10/72,Senator GREENWOOD,KMX,COMMONWEALTH LITERARY FUND,ANSWERS TO QUESTIONS UPON NOTICE,,LP,,1,0,"
 

               Mr D. Stewart. O.B.E., poet and critic, Sydney. "
13,31/8/72,27,2,6,SENATE,623,0,31/8/72,Senator Douglas McClelland,KTA,BUDGET 1972-73,miscellaneous,NEW SOUTH WALES,ALP,,0,0,"
 
-  I listened with a great deal of interest to  Senator Carrick.  As he spoke my mind wandered to the words of the poet Bracken who once wrote:  The poison shafts of falsehood and derision Are oft impaled against those who mould the age. 
 
As  Senator Georges  said when he was called upon to explain why he was interjecting, 
 
Carrick suggested that we should be prepared to debate with him or other Government speakers matters relating to health, unemployment, taxation, social services and the wide spectrum of affairs with which he dealt. When those debates come on in this chamber we will gladly attack the Government on those measures as we will attack it on the Budget. 
 
I read with tremendous interest the Budget Speech of the Treasurer  (Mr Snedden).  It is probably the most vital budget that has been introduced by a Liberal Treasurer for many years. It is vital because it is a do or die effort by the Government. Gallup polls have been running against the Government for months. Public criticism is at the highest level it has ever been. As the Government pulled a rabbit out of the hat in  1954  with the Petrov inquiry, it hopes that the rabbit out of the hat on this occasion will be the Budget. It is the second budget that has been introduced by the present Treasurer. The first was introduced in August last year. That Budget was a complete catastrophe for the Government and a disaster for the nation. It set out to curb inflation. All it did was create greater inflation and serious unemployment. I well recall that when it was introduced in August last year both the Federal leader of the Australian Labor Party, 
 
With hindsight, having regard to the performances of the Government and what  Mr Whitlam  and "
14,24/2/72,27,2,5,SENATE,187,0,24/2/72,Senator MILLINER,KUS,NON-OFFICIAL POST OFFICES (Question No. 1756),Questions,,,,0,0,"
 
asked the Minister representing the Postmaster-General,  upon  notice: 
 
Will the Postmaster-General institute an immediate inquiry into the continuous reduction of official Poet Offices to non-official status. 
 
Will employment opportunities for young people in country and metropolitan areas be imperilled if this trend continues. 
 
Will  the Postmaster-General immediately investigate the reasons why the Northgate Post Office, Brisbane, will, in the near future, operate under non-official conditions. "
15,13/8/19,7,2,0,SENATE,11501,0,13/8/19,Senator BAKHAP,K18,LIMITATION OF SPEECHES,Questions,,,,0,0,"
 
- It is not a matter of any importance whatever to-day. ' I am long past the age when that particular consideration could interest  me.
 
We are discussing this motion, I trust, without party or personal feeling. I am reluctant to curtail the privileges of honorable senators in what is known as a chamber of review. There is something in the contention that the privileges of debate have not been generally abused by members of the .Senate; but I am in favour of some reasonable limitation of debate, not because I believe that "" stonewalling"" may not occasionally have its merits, but because I am of the opinion that no one individual should be permitted to so misuse the privileges of de-, bate as to take away the opportunities of other honorable senators who may desire to participate in discussions. It follows, though - and logically - that if we once impose a limit upon the speech of an honorable senator, the  very fact of that imposition gives him the right to speak. In a chamber of review, such as this, the adoption of a standing order of this character is inconsistent and incompatible with what is known as the application of the closure, . or the "" gag."" I am not in favour of having both. There are certain formal motions which should always be put and agreed to without debate; and there are certain questions which are mentioned in standing order No. ' 431, which are really of a machinery character. They provide for certain motions to be put to the Senate,- and, if necessary, to the vote, without debate. I am confident that no honorable -senator can be of opinion that Standing order No. 431, which involves the application of the ""gag,"" is wrong. But, in regard to general debate upon measures and motions, if we are going to have a time limit, then every honorable senator possesses the inherent right' to say, ""You shall hear me. You shall not apply the  gag '."" While it is essentially necessary that there shall be a time limit to speeches, the time limit in this Chamber is incompatible with the use of the closure in regard to measures necessitating general debate. I am not one of those who subscribe to the cheap and rash assertion that a man should be  able  to say in an hour all that is necessary to be said upon ' any -particular subject. There are men who could discuss points of constitutional law and history, and to whom I would be pleased to listen for hours on end. There are proposals to amend the Constitution, and I believe speeches of more than an hour's duration may be necessitated by the principles involved in the amendments foreshadowed. I subscribe to the belief that "" stone-walling,"" in some instances, may 'be necessary. We have heard of the speeches of ex-Senator Neild; we have also listened to long discourses by ex-Senator Story, and other lengthy deliverances, of which we have had occasion to complain. Let me inform honorable senators that the records disclose that the longest parliamentary speech was made in the ""United States of Colombia, in South America, where a member spoke for thirty hours, and at the end was in a state of physical exhaustion. But why did he speak? Because the House was on the point of being dissolved. According to the practice in that country, the  President  would come down on a certain day, and at a certain hour dissolve the House. On that occasion, had a certain measure, which was .then before the Chamber, been passed, the whole of the people in the United States of Colombia who were closely associated with 'the pastoral industry .would have been absolutely ruined. The debate was continued until the hour when the  President  was to dissolve the Parliament arrived, and a single member was triumphant. It is said that at the close of his speech .his tongue was glued to the roof of his mouth, his lips were black, and his face distorted. But the  speaker  was triumphant, and the people, at a succeeding election, held him to be completely 'justified. On occasions "" stone-walling "" may be necessary, beneficial, and completely compatible with outside opinion. But Parliament must transact its business ; and I must admit that the case I have instanced was .an exceptional one. I do not believe that measures should be rushed through .Parliament. We are told that there is much waste of time, and that :a good many people claim that we do not pass measures quickly enough. .Parliament was not designed, nor was it intended to be, a particularly speedy institution. It has traditions, and has had to contend against Kings, Ministers, corrupt courtiers, and corrupt Judiciaries; -and, naturally, very reluctantly passes measures that give privileges to Governments. Some contend that a man should say everything he desires in a, few minutes. But who would say because Shakespeare could write a sonnet which will live for ever, that Hamlet could be compressed into one or two acts ? Would any one say because the argument preceding each book of  Paradise Lost  is stated in a few lines, that Milton's great poem is redundant, and not worth reading ? Because one man may publish a compendium of useful knowledge, will it be said that the "
16,30/7/19,7,2,0,SENATE,11068,0,30/7/19,Senator O'Keefe,JZ9,ADJOURNMENT,adjournment,,,,0,0,"
 
- Perhaps  Mr. Webster  has been writing poetry, and has Had no».tinie to attend to this -matter. "
17,1/10/19,7,2,0,SENATE,12783,0,1/10/19,Senator LYNCH,KRZ,TREATY OF PEACE,Questions,,,,0,0,"
 
- I re-echo that sentiment. I remind some honorable senators, also, that the present generation / Australians suffered nothing to win th, freedom that we have always enjoyed in this country. The sufferings of the past were borne by our grandfathers, both within and without the Empire. I have heard some midget-minded men suggest that the present generation of Australians are men of superior clay; as people who live on the mountain tops, while we who coane from other parts of the world are living on the plains beneath. I say to men who endeavour to differentiate between those who, by accident of birth, have been launched upon the sea of events in Australia, and other members of this community, that they are all the time reflecting on the parents who begat them. When they tell us that the present generation of Australians are men of superior stamp, and that nothing else matters except what, they think and what they say or do, I reply that there are. other people who did infinitely more for the prosperity of this country than they have done individually. 
 
So much by the way. Let me return to the consideration- of the Peace Treaty on a cash basis. I repeat that because it has been obtained cheaply by too large a section of this country, it is not valued at its true worth. I notice, according to a statement by the Prime Minister  (Mr. Hughes)  that the cost of the war to Australia is something like £400,000,000, including the cost of repatriation capitalized. Roughly speaking, that means a debt of £80 per head of our population. That appears to be a huge burden for a handful of people to bear; but it is only a flea-bite in comparison with what this country would have had to shoulder had the tide of battle turned against us, and had this Treaty been dictated from Berlin instead of from Versailles, and a Hindenburg in the chair instead of a Clemenceau.  If this document had reached us from Berlin, where would some of these men who have opposed Australia's sturdy war policy have been? They would then have had substantial reasons to complain if, instead of continuing to live under the free institutions which have been preserved to us by the men who shed their blood, and let it flow in the common stream, they had been brought under the heel of a German conqueror. Complaint ill-becomes those who, in this country, have resorted to glorification of their own past methods, which, if they had been followed by those in control of Australia's policy, would have paralyzed the war efforts of this country, and, to that extent, of the Allies. I have often wished that, as a measure of retributive and poetic justice, those who sought to paralyze the nation's arm in this great struggle - some of them outside, and some of them inside this Parliament- - could have been placed upon a desert island. And I have wished that a Ludendorff, or a von Bissing. or a Liman von Sanders, could have been placed in charge of them, with a forest of rusty bayonets behind them. They would have felt then what it meant to exist under conditions where they could no longer do as they pleased, but would be made to do this and that, with a rusty bayonet behind them. "
18,1/10/19,7,2,0,SENATE,12825,0,1/10/19,Senator BAKHAP,K18,FRANCE : ANGLO-AMERICAN TREATY,Questions,,,,0,0,"
 
- With all due respect to my honorable friends I make the statement. This Parliament is too highminded to go behind the spirit and meaning of a resolution which it affirms. There is much in French civilization, and in the French character which claims the admiration of mankind. 
 
It must surely be humiliating to a Frenchman to reflect that hi6 country cannot now be regarded as safe unless guaranteed by the other great Powers. I say to the French, notwithstanding my admiration for them, that it is their own fault that that is so. I am friendly to France and to the French people, and it is lamentable that I should have to say from my place here that, had French men and French women been true to themselves in, every respect; had. they acknowledged what was due to their race, they would not now have to get the guarantees of other nations to protect them against Germany. The Leader of the Opposition  (Senator Gardiner)  referred to the fact that Germany has. a population of 80,000,000 or 90,000,000, while France, we understand, has had her population reduced by the war from 38,000,000 to 34,000,000. In Napoleon's day the French numbered over 30,000,000, and he, speaking of his struggle with the British Empire, said, "" Thirty millions of Frenchmen against 15,000,000 of British ! The result cannot be doubtful. History will repeat itself. Rome will destroy Carthage."" But Rome, by which he meant France, did not destroy Carthage the second time. Fortunatelv both Rome and Carthage, using his terms for France and England, survive to-day, and are now joining hand in hand to secure the liberties of mankind and their perpetuation. The point I wish to make now, however, is that, while at the time of the Napoleonic wars the population of Britain numbered only 15,000,000, it now numbers nearly 50,000,000; and France, whose population then was 30,000,000, has now only 34,000,000. In Napoleon's day, there were 22,000,000 Germans, and now there are 80,000,000 or 90,000,000 Germans. It is because of the French disregard of the principles that make nations great that France hae been humiliated by having to seek the protection of other countries against Germany. Millions of unborn Frenchmen should now be inhabiting the tabernacles of the flesh. They should be helping us to fill the waste spaces of Australia, where they would be welcome. The French are too few in number. Their language is losing ground before that of the British. I say to them in the verse of one of their own poets - "
19,18/9/19,7,2,0,SENATE,12518,0,18/9/19,Senator O'KEEFE,JZ9,NOES,Questions,,,,0,0,"
 
- No, but one feels inclined to curtail his own activities at this hour of the morning. It is only because we are working in the small hours, when one can scarcely be expected to apply one's self zealously to legislative duties, that Ministers and their Departments have escaped considerable criticism. I trust that the Minister representing the Postmaster-General will impress upon his colleague the necessity for ceasing from writing poetry and for giving a little more study to the requirements of thousands of people in the back country who, in the past few months, have found their rights and privileges more and more reduced in order that  Mr. Webster  may pose as the Simon Pure of the Government - as. the great economist of the Ministry. "
20,7/8/19,7,2,0,SENATE,11323,0,7/8/19,Senator Needham,JXJ,Council of Advice,miscellaneous,,,,0,0,"
 
- Unlike the PostmasterGeneral, he does not write poetry. "
21,7/8/19,7,2,0,SENATE,11323,0,7/8/19,Senator THOMAS,K8L,Council of Advice,miscellaneous,NEW SOUTH WALES,NAT,,0,0,"
 
- Some of his pamphlets are very poetic. If the Government did not think that  Dr. Gilruth  -was the proper man to fill the post of Administrator, they should have dismissed him. "
22,24/9/19,7,2,0,SENATE,12658,0,24/9/19,Senator Lt Colonel O'LOGHLIN,JZC,TREATY OF PEACE,Questions,,,,0,0,"
 
That is noble sentiment; and, after all our trials and sacrifices, I want to know whether the result is to bring some light and comfort into the cottage home-^-is to bring about better conditions for the masses of the people. I want to see an end of that appalling state of affairs referred to by  Mr. Lloyd  George and revealed by the recruiting records of Great Britain,  when two out of every three men called up for service were deemed to be unfit, due to- the conditions of over-work, underfeeding, and ill-housing. I hope the League pf Nations will have the effect of abolishing all such shocking conditions of life; and, if it does so, I shall be little concerned with expansion of Empires and the acquisition of new territories . to our country. -With respect to that Empire of which we are all proud to be citizens, I desire to quote that fine poet and patriot, William Watson, wherein he said - "
23,2/10/19,7,2,0,SENATE,12929,0,2/10/19,Senator RUSSELL,K3E,Second Reading,bill,Victoria,NAT,VicePresident of the Executive Council and Acting Minister for Defence,1,0,"
 
. - 1 may say that on the whole I am pleased with the general tone of the debate, for whilst in the earlier stages honorable senators were inclined to be a little rough upon me, I think that towards the. close there was a clearer recognition of the difficulties in presenting this measure to the Senate. Perhaps I limited myself a little too much in my second -reading speech, but during the fifteen years I have been in the Senate I never remember making a statement which I have had to withdraw. Statements concerning deposits on the island vary so much that I am reluctant to repeat them. One expert has said that there is sufficient phosphatic rock there to supply the whole world for a hundred years. He talks like a poet, and I am not prepared to accept his figures. I have carefully searched for definite statistics, but, so far, have not found a reliable authority apart from officials of the company, who have, no doubt, prepared figures in their own interests. I do not desire to reflect upon them, but I am not prepared to accept their view as the last word on this point. "
24,27/6/19,7,2,0,SENATE,10210,0,27/6/19,Senator BAKHAP,K18,MINISTERIAL STATEMENT:,Questions,Tasmania,,,0,0,"
 
. - As more than six months have elapsed since Parliament last met, and as many international and Australian events of importance have transpired during that time, it is quite natural that members of the Senate should feel inclined to unburden themselves of some opinions with regard to"" those events, more particularly as at the present moment they are not likely to be accused of wasting time, since there are not very many matters immediately ready for our consideration.  I  shall trespass upon the consideration of honorable senators by making a few allusions to certain features of the Ministerial statement.  I  promise not to attempt to allude to every paragraph in it. because it is of considerable length, and were  I  to do so  I  would inflict upon honorable senators a speech mot of halfanhour,. or three-quarters of an hour, but of several hours in length. 
 
Although as yet the position with regard to the signing of Peace seems to be somewhat indeterminate,  I  venture to hope that we shall have news of that happy consummation during the next few days. The world undoubtedly desires peace, although there is a good deal happening at the present time throughout the world that is not of a peaceful character.  I,  as an Australian, say that Australia has nothing to gain from a state of war, and that, in the interests of this country, the sooner peace comes the better. One of our own poets has said that we are the only nation "" from the womb of peace,"" that is to say, we are the only people, so to speak, born in peace, and, therefore,  we should hope that our future will be one of peaceful development rather than of war-like enterprise. Of course, we have lately placed ourselves in a very prominent position in the eyes of the world by the assistance which we have properly and rightly rendered to the Empire, because the cause of the Empire was the cause of liberty, democracy, and humanity. 
 
Some reference is made in the statement to the League of Nations. Despite the criticism which has been, levelled at the present plan of the League of Nations, I hope that it will be consummated, because I believe that, imperfect though its present provisions may be, it will make for peace. Australia, I think, requires, above all, half a century of peaceful development. ""With that, and the increase in population necessary to cope with our colossal and continental needs. I venture to say that the troubles of the outside ' world will not unduly affect the Australia of our posterity. If w.e are to have future wars, I do not think that Australia will be really safe until she has a population of at least 20,000,000 or 30,000,000.. "
25,28/5/26,10,1,1,SENATE,2433,0,28/5/26,Senator KINGSMILL,KPQ,ALLEGED DEPUTATION OF CHINESE,Questions,,,,0,0,"
 
- The members of the Government are very modest. They remind me of the poet's reference to the gentleman who did good by stealth and blushed to find it fame. The effect of this tariff will he to increase the already large surpluses. Unfortunately, this protective aim does not seem to be carried out to any extent. "
26,3/3/26,10,1,1,SENATE,1206,0,3/3/26,Senator PEARCE,K0F,Second Reading,bill,,,,0,0,"
 
- My honorable friend says that with hia tongue in his cheek. This journal, in its issue of 5th June, 1925, gives news of the communist activities throughout Australia. It deals with events in, South Australia, Queensland, Tasmania, the coal-fields of New South Wales. Western Australia and Victoria. It sets out lists of the representatives. There are ten groups with the names of the secretaries printed. The journal supports every form of industrial unrest and disturbance irrespective of the merits of the case. It urges the fomenting of every possible source of discontent, because discontent brings nearer the day when the workers will be so dissatisfied that they will undertake a social revolution. The names of some of the persons at the head of these groups make interesting reading. For example, the  chairman  of the Melbourne group appears to be a  Mr. Shelley.  He was born in Berlin, and his full name is Joseph Weinman Schelly. He was associated with the activities of the Industrial Workers of the World in Western Australia. Coming to Melbourne, he became  chairman  of the Communist party here, and adopted the English and poetic name of "" Shelley."" He apparently has a permanent position as leader of the unemployed. TheWorkers' 
 
To-day, transport is one of the vital industries. It constitutes the artery alongwhich the life-blood of the modern society (the commodities) must travel. 
 
That statement and the activities of the communists in the British seamen's strike, are significant, and they are a justification for this bill dealing with certain phases of industrial action. 
 
There has been an attempt to make it appear that the Government intends that this bill shall strike at legitimate industrial agitation and action by legitimate trade unions. "
27,8/6/26,10,1,1,SENATE,2705,0,8/6/26,Senator LYNCH,KRZ,NOES,bill,Western Australia,,,0,0,"
 
. - If ever there was a philosopher among the members of the human family, it was the poet who wrote ""Hope springs eternal in the human breast."" What has been our experience hitherto ? Every effort to make this tariff schedule something like a reasonable and scientific instrument has been opposed by  Senator Needham  ; but on this occasion the honorable senator asks the committee to revert to the duty under the 1921 tariff. I do not suggest that he is actuated by any desire to please those bodies which have circulated their views among honorable senators. Unfortunately, I am too responsive to public opinion, and therefore I frequently find myself in an awkward position. I have received so many letters from local governing bodies regarding the duty on this class of machinery that I have been tempted to ask for additional pigeon-hole accommodation. These local bodies have besought me to urge a reduction of duty in respect of road-making machinery ; and being responsive to public opinion, with a high sense of public duty, I am found on this occasion supporting "
